system,condition,method_raw,task,paper_label,memory_level,leaf,sample_id,overall,content_coverage,citation_quality,relevance,thematic_structure,synthesis_quality,writing_quality,length_conciseness,citation_validity,citation_appropriateness,citation_coverage,citation_placement,citation_topic_consistency,path
claudecode+ds-v4-pro,sim_prompt,Claude Code + DS-v4-Pro,PaperA,PaperA,,PaperA,sim_prompt-evotest,7.33,4.73,9.63,8.71,8.8,9.0,9.5,7.02,10.0,9.91,8.42,9.82,9.95,claudecode+ds-v4-pro\sim_prompt\PaperA
claudecode+ds-v4-pro,sim_prompt,Claude Code + DS-v4-Pro,PaperB,PaperB,,PaperB,sim_prompt-evotest,5.89,3.8,5.0,6.86,7.95,7.0,8.5,5.69,9.66,9.7,8.18,9.7,9.77,claudecode+ds-v4-pro\sim_prompt\PaperB
claudecode+ds-v4-pro,sim_prompt,Claude Code + DS-v4-Pro,PaperC,PaperC,,PaperC,sim_prompt-evotest,6.14,3.81,5.0,8.33,8.79,6.5,8.5,6.42,9.5,9.5,2.0,9.61,10.0,claudecode+ds-v4-pro\sim_prompt\PaperC
claudecode+ds-v4-pro,sim_prompt,Claude Code + DS-v4-Pro,PaperD,PaperD,,PaperD,sim_prompt-evotest,6.92,1.52,8.29,5.26,8.3,8.5,9.0,7.55,10.0,8.2,5.88,8.6,8.8,claudecode+ds-v4-pro\sim_prompt\PaperD
claudecode+ds-v4-pro,sim_prompt,Claude Code + DS-v4-Pro,PaperE,PaperE,,PaperE,sim_prompt-evotest,5.41,2.74,5.0,8.64,7.43,5.0,8.0,3.99,9.29,8.57,4.44,8.71,8.71,claudecode+ds-v4-pro\sim_prompt\PaperE
openclaw+ds-v4-pro,sim_prompt,OpenClaw + DS-v4-Pro (legacy sim_prompt),PaperA,PaperA,,sim_prompt_PaperA,sim_prompt-evotest,7.88,3.64,9.11,8.33,8.57,8.0,9.0,8.58,9.55,9.79,6.67,9.79,9.86,openclaw+ds-v4-pro\sim_prompt\sim_prompt_PaperA
openclaw+ds-v4-pro,sim_prompt,OpenClaw + DS-v4-Pro (legacy sim_prompt),PaperB,PaperB,,sim_prompt_PaperB,sim_prompt-evotest,6.4,4.68,5.0,8.59,8.35,9.0,9.5,4.21,9.17,9.62,10.0,9.72,9.72,openclaw+ds-v4-pro\sim_prompt\sim_prompt_PaperB
openclaw+ds-v4-pro,sim_prompt,OpenClaw + DS-v4-Pro (legacy sim_prompt),PaperC,PaperC,,sim_prompt_PaperC,sim_prompt-evotest,7.04,4.2,7.79,8.09,8.25,8.0,8.5,4.02,9.72,9.0,2.17,8.22,9.49,openclaw+ds-v4-pro\sim_prompt\sim_prompt_PaperC
openclaw+ds-v4-pro,sim_prompt,OpenClaw + DS-v4-Pro (legacy sim_prompt),PaperD,PaperD,,sim_prompt_PaperD,sim_prompt-evotest,6.34,4.58,5.0,7.5,8.17,7.5,8.5,7.96,9.19,9.39,7.5,8.61,9.7,openclaw+ds-v4-pro\sim_prompt\sim_prompt_PaperD
openclaw+ds-v4-pro,sim_prompt,OpenClaw + DS-v4-Pro (legacy sim_prompt),PaperE,PaperE,,sim_prompt_PaperE,sim_prompt+skill-evotest,7.05,3.33,8.28,8.24,7.65,7.0,8.0,6.44,9.75,8.57,6.0,7.71,8.71,openclaw+ds-v4-pro\sim_prompt\sim_prompt_PaperE
